Firmware:,,,5095,,CalTop,,15.65,,UpCurr,1100,,DnCur,800,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format Line:,,,,,1,2,3,4,21,22,7,30,5,23,6,25,28,26,27,8,9,10,11,12,13,14,15,16,17,18,29,19,19,20,31,Calculated Data
,,,Position,,4,9,13,17,68,73,31,98,22,78,25,88,95,93,94,36,39,44,47,50,53,56,59,60,61,62,96,63,97,64,103,
### 0000000228-20190130093355.blg: 2019-01-30 09:33:55  -  2019-01-30 09:35:15 ###,,,# of Char,,5,4,4,5,5,5,5,4,3,5,6,5,1,1,1,3,5,3,3,3,3,3,1,1,1,1,1,1,1,4,3,
BLH0000000228190130093355M509515.6511000800,,Find 'B' character as start of packet,Time (s),Position (in),Data Set Count,Speed Actual,Target Speed,Position Motor Current,PM Current PID Output,MM Current PID Output,Mix Motor Current,MM Tach,Position Motor PWM Duty Cycle % (3 Bytes),Desired counts,Position Motor Encoder Count Starts at 4000,Target Count,PM Direction,Encoder overrun,Encoder underrun,Mix Motor PWM Duty Cycle %,Pump Motor Current,Pump Motor PWM Duty Cycle %,Upper Chamber Temp F,Lower Chamber Temp F ,Scour Heater TempF,Steamer Temp F,Water Shot Solenoid Status,Scour Solenoid Status,Front Door Switch Status,Flip Up Door Status ,Pinch occurred recently,Cup Size Beam ,"ProductDetect
3=small 4=med",Flowcount (ml),% Complete,Avg. Speed over 1 second (in/s)
BLD000273.752.5001.5911500908700.0000000.00000066066065072001010000000000000000030030301112710100015,,0,2.70,5.708,27,3.75,2.5,1.59,0,0,0.00,15,115,30,9087,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.623
BLD000283.752.5001.6311500931800.0000000.00000066066065072001010000000000000000030030901112710100015,,0,2.80,5.967,28,3.75,2.5,1.63,0,0,0.00,15,115,30,9318,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.630
BLD000293.752.5001.6311500954800.0000000.00000066066065072001010000000000000000030031501112710100015,,0,2.90,6.225,29,3.75,2.5,1.63,0,0,0.00,15,115,30,9548,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.637
BLD000303.752.5001.6811500977900.0000000.00000066066065072001010000000000000000030032101112710100015,,0,3.00,6.484,30,3.75,2.5,1.68,0,0,0.00,15,115,30,9779,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.641
BLD000313.752.5001.6811501001100.0000000.00000066066065072001010000000000000000030032701112710100015,,0,3.10,6.744,31,3.75,2.5,1.68,0,0,0.00,15,115,30,10011,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.647
BLD000323.752.5001.5211501024500.0000000.00000066066065072001010000000000000000030033301112710100015,,0,3.20,7.007,32,3.75,2.5,1.52,0,0,0.00,15,115,30,10245,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.648
BLD000333.752.5001.4311501048100.0000000.00000066066065072001010000000000000000030033901112710100015,,0,3.30,7.272,33,3.75,2.5,1.43,0,0,0.00,15,115,30,10481,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.649
BLD000343.752.5001.3811501071700.0000000.00000066066065072001010000000000000000030034501112710100015,,0,3.40,7.536,34,3.75,2.5,1.38,0,0,0.00,15,115,30,10717,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.649
BLD000353.752.5001.3311501095300.0000000.00000066066065072001010000000000000000030035101112710100015,,0,3.50,7.801,35,3.75,2.5,1.33,0,0,0.00,15,115,30,10953,11127,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.643
BLD000363.750.5001.2911501119000.0000000.00000066066065072001010000000000000000006032101380310100015,,0,3.60,8.067,36,3.75,0.5,1.29,0,0,0.00,15,115,6,11190,13803,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.629
BLD000373.750.5001.2911501142500.0000000.00000066066065072001010000000000000000006029881380310100015,,0,3.70,8.331,37,3.75,0.5,1.29,0,0,0.00,15,115,6,11425,13803,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.604
BLD000383.750.5001.2911501166200.0000000.00000066066065072001010000000000000000006027601380310100015,,0,3.80,8.597,38,3.75,0.5,1.29,0,0,0.00,15,115,6,11662,13803,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.559
BLD000393.750.5001.2911501189800.0000000.00000066066065072001010000000000000000006025321380310100015,,0,3.90,8.862,39,3.75,0.5,1.29,0,0,0.00,15,115,6,11898,13803,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.494
BLD000403.750.5001.2911501213300.0000000.00000066066065072001010000000000000000006023041380310100015,,0,4.00,9.125,40,3.75,0.5,1.29,0,0,0.00,15,115,6,12133,13803,1,1,0,0,0.00,0,66,66,65,72,0,0,1,0,0,1,0,0,,2.390
